 -5.600000000000000533e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.645740490235064524e+00-1.485004307136042657e-13j, 3.361064449193057690e+00+2.244332876710351615e-14j, 4.491447368879160962e+00-1.635527307239977784e-13j, 4.752675320178404661e+00-5.546246778528701377e-15j, 6.896580621212534901e+00-4.067757079442999701e-15j, 7.336332202221290899e+00-9.444629325635430695e-14j, 7.529749769842688956e+00-3.602615696963205773e-14j, 8.547205242367175160e+00+2.264760965988728629e-13j, 9.499969840276879296e+00-9.693856282122854501e-14j, 9.605982369554103784e+00-1.442287214303295602e-13j
 -5.200000000000000178e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.580804533029028125e+00-1.415018753078963996e-13j, 3.334199794116627924e+00-5.451169207132325985e-14j, 4.576099741668770093e+00+1.581824552682623437e-13j, 4.793959869339066593e+00-1.606674298958705882e-14j, 6.868980541286228814e+00+3.151889073149304582e-14j, 7.305153758692347843e+00+1.267962826181513268e-14j, 7.515187277944532340e+00+2.310596799462077480e-13j, 8.535233740994241813e+00-2.110397638594268997e-13j, 9.490498443440291254e+00+5.717545385558770247e-14j, 9.584765010964979126e+00-1.164081699067055015e-14j
 -4.799999999999999822e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.519041971397392388e+00+1.022193424396670665e-13j, 3.308311552739071626e+00-7.926380603542519760e-14j, 4.659353562262952941e+00-2.867513046307356628e-14j, 4.834877516529611619e+00+2.324226101492213760e-14j, 6.839793900501880408e+00-1.861683605202762863e-14j, 7.273515553028173208e+00+2.279413834120300929e-14j, 7.497703956516946100e+00+2.389801915396528585e-13j, 8.528622757301942414e+00-4.403109205579071884e-14j, 9.481434339320159665e+00+4.144697874447751206e-14j, 9.560326826951351720e+00-1.049638331944569136e-13j
 -4.399999999999999467e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.460731134169392931e+00-3.874094829740901835e-14j, 3.283664983600967258e+00-7.831788673374030635e-14j, 4.740839859285896019e+00-2.295115767088404882e-14j, 4.874960801066617222e+00+1.053466610962898409e-14j, 6.809069205607741537e+00-3.246785732235833467e-14j, 7.241864384575645630e+00+3.840462447986892251e-14j, 7.477929170492435773e+00-1.817640244152400555e-13j, 8.527108133160909986e+00+3.947669548872551586e-14j, 9.472862619754685909e+00+5.357131227821429301e-14j, 9.533483594734763145e+00+1.554139762700129083e-13j
 -4.000000000000000222e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.406157409615828247e+00-8.693472144402516952e-14j, 3.260488664990374374e+00-1.332270365709162077e-14j, 4.820120677477603977e+00+5.190170603515997917e-14j, 4.913751073742413489e+00+6.270701921013841396e-14j, 6.776917006087100681e+00-2.415472081539794840e-14j, 7.210659659219354367e+00+4.999105300722576070e-14j, 7.456655870613033699e+00-5.901394165616590204e-14j, 8.530182270777530107e+00-4.302795903718613525e-13j, 9.464853604251491248e+00+8.820856529479267232e-14j, 9.505019277185267512e+00+3.290674641801346156e-13j
 -3.599999999999999867e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.355610785940829288e+00-1.369157454123023689e-13j, 3.238980113196466171e+00-6.680803248604453840e-14j, 4.950793850075286606e+00+2.185618594727449012e-14j, 4.896668545676433837e+00+8.116363585506500290e-14j, 6.743552464811478409e+00+1.329053038050049170e-13j, 7.180371921442647576e+00+6.618767810437251072e-15j, 7.434752809412130681e+00+8.571142553839781455e-15j, 8.537159615807880186e+00-8.644359573823762942e-14j, 9.457465212829934131e+00-6.200690771905387223e-14j, 9.475686573910463650e+00+6.749816434612957731e-14j
 -3.199999999999999512e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.309382251261048680e+00-1.694807651455593855e-13j, 3.219310118174246504e+00+9.969057014599018124e-15j, 4.985653017370848872e+00+7.822171816838429144e-14j, 4.969826331665252006e+00-1.222155891525089400e-13j, 6.709341004852218404e+00+3.448240409721777716e-14j, 7.151480233389394314e+00-3.073778765468037732e-14j, 7.413080443589074697e+00-6.882085531564505344e-14j, 8.547235353399026181e+00-2.564464458172203769e-13j, 9.446213033393851433e+00+2.466784410975796698e-14j, 9.450752305325975655e+00+5.007073626167504029e-14j
 -2.800000000000000266e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.267759092292606748e+00-2.139518960170810370e-15j, 3.201626021701311942e+00+1.143883093922596215e-14j, 5.017750946162347958e+00-3.011215702687252183e-14j, 5.038941519478752795e+00+6.286337116066487913e-14j, 6.674842408482061451e+00+2.697605687289669147e-14j, 7.124467671809456171e+00-1.016061566887872634e-14j, 7.392424477065800303e+00+1.109728406378634988e-13j, 8.559528540325979762e+00-2.245370599214960662e-13j, 9.417348974061344080e+00+1.337319180828347057e-14j, 9.444739299157639323e+00+7.308759833815080368e-14j
 -2.399999999999999911e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.231019177607407755e+00-4.284865171770782727e-14j, 3.186054150588980782e+00+2.827520351674644671e-14j, 5.046821911783903936e+00+2.242189024172416075e-14j, 5.102890753206040131e+00+3.909985708683708825e-14j, 6.640846950429286188e+00-1.127744848833868093e-13j, 7.099814241227340617e+00+6.023217878393144443e-15j, 7.373453683580670770e+00+8.579761261842519557e-14j, 8.573108826875357025e+00-1.087967177049302373e-13j, 9.439471708305321229e+00+1.304330435414498353e-13j, 9.389836179092275970e+00+7.853205213969859892e-14j
 -1.999999999999999556e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.199424393033531100e+00+2.777235285067949207e-14j, 3.172701589535093181e+00-3.275406801149888121e-15j, 5.072323772041722911e+00+5.267281476988056094e-14j, 5.160656887568548790e+00+2.149912968329366665e-13j, 6.608394746590177782e+00-6.968719433527040759e-14j, 7.077986664558454599e+00+3.729702391941092644e-15j, 7.356702113094845785e+00+2.125579007852094556e-13j, 8.587012563537765431e+00-1.066838260306042803e-13j, 9.364465491237451644e+00+5.981762726545028948e-14j, 9.434973145486750923e+00+2.243683910741050889e-13j
